id, repo, followersCommunity, forksCommunity, followersParticipation, forksParticipation
claudep, 2, 21, -1, 0.0, -1
aaugustin, 2, 21, 92, 0.0, 0.0
felixxm, 2, 21, -1, 0.8016531213182414, -1
jezdez, 6, 21, 82, 0.0, 0.0
jacobian, 2, 21, 42, 0.8957121742823608, 0.0
charettes, 2, 21, 306, 0.8424613478984682, 0.0
spookylukey, 2, 21, 93, 0.0, 0.0
alex, 2, 21, 22, 0.9213606345793887, 0.0
ramiro, 2, 21, -1, 0.8360032334318739, -1
andrewgodwin, 2, 21, 266, 0.0, 0.0
jdufresne, 2, 21, -1, 0.8355906144740659, -1
sir-sigurd, 2, 21, -1, 0.9559574370505541, -1
akaariai, 2, 21, -1, 0.0, -1
gdub, 2, 21, -1, 0.779215173751282, -1
apollo13, 2, 21, -1, 0.9033604746421995, -1
kmtracey, 2, 21, -1, 0.0, -1
carltongibson, 2, 21, 310, 0.9328127285434477, 0.0
jbronn, 2, 21, -1, 0.9411511814879283, -1
ubernostrum, 2, 21, 91, 0.0, 0.0
hramezani, 2, 21, -1, 0.7994165108426299, -1
ngnpope, 6, 21, -1, 0.7928964926988742, -1
carljm, 2, 21, 239, 0.8841933364332011, 0.0
bmispelon, 2, 21, 321, 0.0, 0.0
jphalip, 2, 21, -1, 0.9322159844722602, -1
adamchainz, 6, 21, 305, 0.8671698372134589, 0.0
loic, 2, 21, -1, 0.0, -1
brosner, 2, 21, 41, 0.9048646938108108, 0.0
cjerdonek, 2, 21, -1, 0.0, -1
MarkusH, 2, 21, -1, 0.806057655219472, -1
mjtamlyn, 2, 21, -1, 0.0, -1
smithdc1, 2, 21, -1, 0.8866508141727905, -1
atombrella, 2, 21, -1, 0.0, -1
SmileyChris, 2, 21, 72, 0.0, 0.0
ikelly, 2, -1, -1, -1, -1
ptone, 2, 21, 93, 0.7697535433851522, 0.0
telenieko, 2, -1, -1, -1, -1
shaib, 2, 21, -1, 0.0, -1
berkerpeksag, 2, 21, -1, 0.0, -1
jkocherhans, 2, 21, 45, 0.8689272812580937, 0.0
collinanderson, 2, 21, -1, 0.8454768286346539, -1
jacobtylerwalls, 2, -1, -1, -1, -1
orf, 2, 21, 74, 0.7852102316719765, 0.0
David-Wobrock, 2, 21, -1, 0.0, -1
francoisfreitag, 2, 21, -1, 0.9411511814879283, -1
alasdairnicol, 2, -1, 303, -1, 0.9999999999999997
prestontimmons, 2, 21, -1, 0.9126618281720243, -1
PaulMcMillan, 2, 21, -1, 0.0, -1
hannseman, 2, 21, -1, 0.878043377049756, -1
HonzaKral, 2, 21, 86, 0.0, 0.0
kezabelle, 2, 21, -1, 0.8980093906786778, -1
DrMeers, 2, 21, -1, 0.0, -1
jarshwah, 2, 21, -1, 1.0, -1
mxsasha, 2, 21, -1, 0.0, -1
akki, 2, 21, -1, 0.9281852486429102, -1
knbk, 2, 32, -1, 0.0, -1
mboersma, 2, -1, -1, -1, -1
desecho, 2, 21, -1, 0.0, -1
funkybob, 2, 21, 93, 0.9003327399001062, 0.0
blueyed, 2, 21, 213, 0.7535053261191933, 0.0
evildmp, 2, 21, 323, 0.0, 0.0
